MIN_GAP_PTS,SL_LOOKBACK,SESSION_MODE,TP_RISK_RATIO,trades,pnl,wr,pf,avg_pnl,avg_r,gross_profit,gross_loss,max_dd,score
1.0,15,Asia + London,1.0,40,1618.4019531250037,75.0,2.708257991709652,40.460048828125096,0.5,2565.80097656249,947.3990234374855,235.66000000000008,1213.8014648437527
1.0,10,Asia + London,1.0,49,1216.749765624971,63.26530612244898,1.9794227420452288,24.831627869897364,0.2653061224489796,2459.062929687464,1242.313164062493,257.6200000000092,769.7804639668184
1.0,15,Asia + London + NY,1.0,55,1125.3029296874836,67.27272727272727,1.488345111176837,20.460053267045158,0.34545454545454546,3429.621953124981,2304.319023437496,733.1399999999965,757.0219708806707
1.0,15,Off,1.0,66,1139.1687890624817,63.63636363636363,1.4064454987162363,17.260133167613358,0.2727272727272727,3941.927812499971,2802.7590234374893,772.980000000013,724.925593039761
1.0,10,Asia + London + NY,1.0,73,919.9917187499725,57.534246575342465,1.3441883259043181,12.602626284246199,0.1506849315068493,3592.9229296874564,2672.9312109374823,601.7600000000093,529.3103039383403
1.5,15,Asia + London,1.0,27,698.0248828125001,66.66666666666666,1.7183853260490756,25.852773437500005,0.3333333333333333,1669.6829296874926,971.6580468749928,396.70000000000186,465.349921875
1.0,10,Off,1.0,83,626.5936718749527,55.42168674698795,1.1926574893320194,7.549321347890997,0.10843373493975904,3878.9648828124336,3252.371210937479,829.2180468750422,347.2687820029858
2.0,15,Asia + London,1.0,19,539.9400000000109,63.1578947368421,1.6756191590989382,28.417894736842676,0.2631578947368421,1339.118046874998,799.1780468749873,334.95999999999276,341.0147368421121
1.0,5,Off,1.0,100,557.0058593749726,55.00000000000001,1.1816547013481518,5.570058593749726,0.1,3623.29511718747,3066.2892578124956,594.1200000000201,306.35322265623495
1.5,15,Off,1.0,47,501.23269531249076,59.57446808510638,1.2122915596996462,10.664525432180655,0.19148936170212766,2862.2907421874825,2361.0580468749904,867.3199999999947,298.60671210105835
1.0,5,Asia + London,1.0,61,471.86195312497637,57.377049180327866,1.29822584784026,7.735441854507809,0.14754098360655737,2054.092187499975,1582.230234374998,313.69609375000545,270.7404649077733
1.5,10,Asia + London,1.0,28,469.28976562498366,57.14285714285714,1.4899284214090818,16.760348772320846,0.14285714285714285,1427.1639062499762,957.8741406249927,282.66000000000736,268.16558035713354
2.0,10,Off,1.0,40,425.4019531249834,52.5,1.2377804984615461,10.635048828124585,0.05,2214.4551171874673,1789.0531640624838,469.3600000000001,223.33602539061627
1.0,5,Asia + London + NY,1.0,90,359.40390624997065,54.44444444444444,1.125169868719194,3.993376736110785,0.08888888888888889,3230.733164062465,2871.3292578124947,668.4200000000219,195.67546006942845
2.0,10,Asia + London + NY,1.0,36,369.3639062499836,52.77777777777778,1.219915213812794,10.260108506943988,0.05555555555555555,2048.938046874969,1679.5741406249856,584.6199999999983,194.9420616319358
2.0,10,Asia + London,1.0,20,331.20390624998913,55.00000000000001,1.4237218087083467,16.560195312499456,0.1,1112.858046874978,781.6541406249892,298.6600000000019,182.16214843749404
2.0,15,Asia + London + NY,1.0,32,239.32390625000357,56.25,1.1296194455106179,7.478872070312612,0.125,2085.6819531249907,1846.3580468749874,697.0999999999855,134.61969726562702
1.5,10,Asia + London + NY,1.0,49,221.74976562498898,53.06122448979592,1.097643498408145,4.525505420918143,0.061224489795918366,2492.7639062499693,2271.0141406249795,869.100000000002,117.66314094387171
1.5,10,Off,1.0,56,206.57464843746905,53.57142857142857,1.0824572544387403,3.6888330078119473,0.07142857142857142,2711.80781249995,2505.23316406248,907.800000000011,110.66499023435841
1.5,15,Asia + London + NY,1.0,43,168.18878906248705,58.139534883720934,1.071590472514442,3.9113671874996987,0.16279069767441862,2517.5068359374873,2349.3180468749997,1034.58,97.78417968749247
2.0,15,Off,1.0,33,123.58390625000726,54.54545454545454,1.0629855915950979,3.744966856060826,0.09090909090909091,2085.6819531249907,1962.0980468749838,812.8399999999818,67.40940340909486
1.5,5,Off,1.0,64,124.65171874997813,53.125,1.0527918345043459,1.9476831054684083,0.0625,2485.8448828124638,2361.1931640624844,628.7600000000164,66.22122558592588
1.5,5,Asia + London,1.0,33,40.58878906247823,54.54545454545454,1.0369629739905823,1.2299633049235827,0.09090909090909091,1138.6819531249746,1098.0931640624963,250.8400000000018,22.139339488624486
2.0,5,Off,1.0,44,33.44097656250549,50.0,1.0185651687759503,0.7600221946023975,0.0,1834.7160937499707,1801.2751171874656,359.0600000000036,16.720488281252745
2.0,5,Asia + London + NY,1.0,40,4.402929687503644,50.0,1.0026025179415943,0.1100732421875911,0.0,1696.1990234374707,1691.7960937499674,447.32000000000363,2.201464843751822
2.0,5,Asia + London,1.0,22,-44.275117187503554,50.0,0.9498091433785493,-2.012505326704707,0.0,837.85999999998,882.1351171874836,339.61999999998903,-22.137558593751777
1.5,5,Asia + London + NY,1.0,58,-77.91316406252359,51.724137931034484,0.9653982880611582,-1.3433304148710965,0.034482758620689655,2173.8009765624643,2251.7141406249866,717.0200000000164,-40.29991244613289
