feature,mean_gain,n_models
pre_bo_drift_atr,18063.856563192607,20
pre_bo_last_candle_range_ratio,17973.41868442297,20
pre_bo_compression_ratio,11453.775413143634,20
price_vs_vwap_pct_abs,8306.722916299104,20
sm_first_30m_direction,8087.587860298157,20
time_in_session_min,7909.813003009558,20
breakout_strength_atr_ratio,7193.867022776603,20
sm_first_30m_range,6050.113640040159,20
adx_14_15m,5503.92677077651,20
vwap_at_breakout,5483.497066956758,20
price_vs_vwap_pct,5419.352594000101,20
int_atr14_x_adx,5269.668861144781,20
mac_oil_volatility,4801.118659502268,20
orb_range_atr_ratio,4645.613671374321,20
int_adx_x_orb_range,4519.144371783734,20
mac_us10y_change,4384.370551162958,20
sm_pre_breakout_volume_z,3908.237354809046,20
sm_pre_breakout_volume_ratio,3890.4881285250185,20
breakout_strength_vs_orb,3869.306362426281,20
atr14_at_entry,3570.380792796612,20
int_vwap_distance_x_atr14,3154.567355710268,20
atr14_zscore_20d,3104.046971184015,20
int_breakout_strength_x_session,2923.495426213741,20
int_breakout_strength_x_range,2665.6443478286265,20
orb_range_percentile_20d,2605.9055207788942,20
orb_range_sq,2552.9205595195294,20
breakout_side,1929.9269716858864,20
atr14_percentile_20d,1923.7028176128865,20
breakout_strength_percentile_20d,1878.8563314259052,20
breakout_strength_zscore_10d,1864.7854413688183,20
breakout_strength,1198.6173113286495,20
day_of_week,1116.4035502552986,20
pre_bo_bullish_ratio,1054.4261012852191,20
ema_slope_1h,821.3946709394455,20
mac_dxy_trend,681.1889741182327,20
atr14_sq,584.6959847152233,20
breakout_strength_sq,282.7883137047291,20
mac_spx_regime,207.31131063103675,20
pre_bo_inside_bar_flag,205.7422146677971,20
adx_50_flag,49.86600221395493,20
