target,rr,pass_rate,fail_mll_rate,score,median_end_pnl,avg_trades,windows,rev_q,cont_q,rev_adx_min,cont_adx_max,risk_per_r_usd,daily_profit_cap,pass_2025,fail_mll_2025,pnl_2025,pass_2026,fail_mll_2026,pnl_2026
y_1r2_240m,2.0,0.13253012048192772,0.0,0.13253012048192772,279.0,12.108433734939759,83,0.9,0.85,30,30,150.0,1400.0,1.0,0.0,3681.0,0.04918032786885246,0.0,-477.0
y_1r2_120m,2.0,0.0963855421686747,0.0,0.0963855421686747,117.0,17.40963855421687,83,0.85,0.75,30,30,150.0,1400.0,1.0,0.0,2295.0,0.0,0.0,108.0
y_1r2_close60m,2.0,0.0963855421686747,0.0,0.0963855421686747,-459.0,12.349397590361447,83,0.95,0.85,30,30,150.0,1400.0,1.0,0.0,3519.0,0.0,0.0,-486.0
y_1r4_120m,4.0,0.12048192771084337,0.03614457831325301,0.08433734939759036,720.0,13.289156626506024,83,0.95,0.85,30,30,150.0,1400.0,0.0,0.0,-1683.0,0.16393442622950818,0.0,1149.0
y_1r2_60m,2.0,0.07228915662650602,0.0,0.07228915662650602,-9.0,9.566265060240964,83,0.95,0.85,30,30,150.0,1400.0,0.3333333333333333,0.0,3096.0,0.0,0.0,-171.0
y_1r2_180m,2.0,0.07228915662650602,0.0,0.07228915662650602,828.0,13.433734939759036,83,0.85,0.85,30,30,150.0,1400.0,1.0,0.0,2781.0,0.0,0.0,729.0
y_1r4_180m,4.0,0.13253012048192772,0.10843373493975904,0.024096385542168683,1623.0,15.19277108433735,83,0.9,0.9,30,30,150.0,0.0,0.0,0.0,-1392.0,0.18032786885245902,0.14754098360655737,2619.0
y_1r4_close60m,4.0,0.0,0.0,0.0,146.0,18.783132530120483,83,0.75,0.9,30,30,100.0,0.0,0.0,0.0,-487.0,0.0,0.0,264.0
y_1r4_60m,4.0,0.0,0.04819277108433735,-0.04819277108433735,-530.0,13.891566265060241,83,0.85,0.85,30,30,100.0,0.0,0.0,1.0,-1884.0,0.0,0.0,-339.0
y_1r4_240m,4.0,0.0,0.1566265060240964,-0.1566265060240964,-148.0,17.301204819277107,83,0.95,0.85,30,30,100.0,0.0,0.0,0.0,-957.0,0.0,0.21311475409836064,-354.0
